date | value
2009-01-02 | 1
2009-01-07 | 3
2009-01-10 | 5
2011-01-04 | 3
2011-01-03 | 2
2011-01-06 | 4
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648

# Cas limites et edge cases
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 1000.0
2011-01-03 | 1000.01
2011-01-03 | -0.01
2011-01-03 | abc
2011-01-03 | 42abc
2011-01-03 | 42.42.42
2011-01-03 | 
| 42
2011-01-03|42
2011-01-03 |42
2011-01-03| 42
2011-01-03  |   42
2011-01-03|   42
2011-01-03 |   42
2011-01-03 |  42   
2011-01-03 |  42.0
2011-01-03 |  0.0
2011-01-03 |  999.999
2011-01-03 |  1000.000
2011-01-03 |  1000.001
2011-01-03 |  -1000
2011-01-03 |  +42
2011-01-03 |  042
2011-01-03 |  0x2A
2011-01-03 |  1e2
2011-01-03 |  1.0e2
2011-01-03 |  1,0
2011-01-03 |  1.0.0
2011-01-03 |  1.0 
2011-01-03 |  	42
2011-01-03 |  42	
2011-01-03 |  

# Dates invalides
2011-13-03 | 42
2011-00-03 | 42
2011-01-32 | 42
2011-01-00 | 42
2011-1-3 | 42
2011-01-3 | 42
2011-1-03 | 42
201-01-03 | 42
20111-01-03 | 42
abcd-ef-gh | 42
2011-01-03-01 | 42
2011/01/03 | 42

# Lignes vides et commentaires

#
 
2011-01-03 | 42 # commentaire
2011-01-03 | 42#
2011-01-03 | #
# 2011-01-03 | 42
2011-01-03 | 42 # 
